                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5556,                0.56627,                      1,                 1.4873,             0.00023359,             0.00023359,             0.00023359
                      2,                 1.0928,                0.72892,                      1,                 1.2686,             0.00046226,             0.00046226,             0.00046226
                      3,                0.80443,                0.81928,                      1,                 1.1576,             0.00068149,             0.00068149,             0.00068149
                      4,                0.61899,                0.88554,                      1,                 1.1021,             0.00067159,             0.00067159,             0.00067159
                      5,                0.51637,                0.87952,                      1,                 1.0611,             0.00065745,             0.00065745,             0.00065745
                      6,                0.40492,                0.87952,                      1,                 1.0659,             0.00064331,             0.00064331,             0.00064331
                      7,                0.40861,                0.90964,                      1,                 1.0726,             0.00062918,             0.00062918,             0.00062918
                      8,                0.33866,                0.90361,                      1,                 1.0517,             0.00061504,             0.00061504,             0.00061504
                      9,                0.29867,                0.89759,                      1,                 1.0166,              0.0006009,              0.0006009,              0.0006009
                     10,                0.22285,                0.91566,                      1,                 1.0066,             0.00058677,             0.00058677,             0.00058677
                     11,                 0.2856,                0.93976,                      1,                0.98999,             0.00057263,             0.00057263,             0.00057263
                     12,                0.22496,                0.93373,                      1,                0.98807,             0.00055849,             0.00055849,             0.00055849
                     13,                0.18963,                0.92169,                      1,                0.99049,             0.00054435,             0.00054435,             0.00054435
                     14,                0.19751,                0.93373,                      1,                 1.0011,             0.00053022,             0.00053022,             0.00053022
                     15,                0.18527,                0.92771,                      1,                0.98987,             0.00051608,             0.00051608,             0.00051608
                     16,                0.15272,                0.92771,                      1,                 1.0002,             0.00050194,             0.00050194,             0.00050194
                     17,                  0.143,                0.93373,                      1,                 1.0018,              0.0004878,              0.0004878,              0.0004878
                     18,                 0.1861,                0.93373,                      1,                0.97294,             0.00047367,             0.00047367,             0.00047367
                     19,                0.18895,                0.93373,                      1,                0.99831,             0.00045953,             0.00045953,             0.00045953
                     20,                0.11241,                0.93373,                      1,                0.99311,             0.00044539,             0.00044539,             0.00044539
                     21,                0.17204,                0.93976,                      1,                0.99082,             0.00043126,             0.00043126,             0.00043126
                     22,                0.12609,                0.93373,                      1,                0.97262,             0.00041712,             0.00041712,             0.00041712
                     23,                0.13695,                0.93976,                      1,                0.96918,             0.00040298,             0.00040298,             0.00040298
                     24,                0.11998,                0.93976,                      1,                0.99147,             0.00038884,             0.00038884,             0.00038884
                     25,                0.12391,                0.93373,                      1,                 0.9719,             0.00037471,             0.00037471,             0.00037471
                     26,                0.12205,                0.93976,                      1,                0.98225,             0.00036057,             0.00036057,             0.00036057
                     27,                0.11187,                0.93373,                      1,                0.99608,             0.00034643,             0.00034643,             0.00034643
                     28,                0.13279,                0.93373,                      1,                0.97302,              0.0003323,              0.0003323,              0.0003323
                     29,                0.09942,                0.93976,                      1,                0.96059,             0.00031816,             0.00031816,             0.00031816
                     30,                0.09156,                0.95181,                      1,                0.95502,             0.00030402,             0.00030402,             0.00030402
                     31,                 0.1021,                0.93976,                      1,                0.95541,             0.00028988,             0.00028988,             0.00028988
                     32,                0.09247,                0.93976,                      1,                0.96243,             0.00027575,             0.00027575,             0.00027575
                     33,                0.07658,                0.93373,                      1,                0.96389,             0.00026161,             0.00026161,             0.00026161
                     34,                0.07685,                0.93976,                      1,                0.97803,             0.00024747,             0.00024747,             0.00024747
                     35,                0.06708,                0.93976,                      1,                0.96296,             0.00023334,             0.00023334,             0.00023334
                     36,                0.06403,                0.94578,                      1,                0.95632,              0.0002192,              0.0002192,              0.0002192
                     37,                0.06473,                0.93976,                      1,                0.95679,             0.00020506,             0.00020506,             0.00020506
                     38,                0.06764,                0.93976,                      1,                0.96248,             0.00019092,             0.00019092,             0.00019092
                     39,                0.10953,                0.93976,                      1,                 0.9607,             0.00017679,             0.00017679,             0.00017679
                     40,                0.07542,                0.93976,                      1,                0.96025,             0.00016265,             0.00016265,             0.00016265
                     41,                 0.0685,                0.93976,                      1,                0.96069,             0.00014851,             0.00014851,             0.00014851
                     42,                0.06698,                0.93976,                      1,                0.95907,             0.00013437,             0.00013437,             0.00013437
                     43,                0.07298,                0.94578,                      1,                 0.9583,             0.00012024,             0.00012024,             0.00012024
                     44,                 0.1002,                0.94578,                      1,                0.95687,              0.0001061,              0.0001061,              0.0001061
                     45,                0.08098,                0.94578,                      1,                0.96137,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.05019,                0.94578,                      1,                0.97745,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.06465,                0.94578,                      1,                0.97727,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.04941,                0.94578,                      1,                0.95757,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.11558,                0.93976,                      1,                  0.957,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.05663,                0.94578,                      1,                0.95631,             2.1277e-05,             2.1277e-05,             2.1277e-05
